,name,trajectory,steps
0,isMutiGoal1episodes24000step_agent,"[[7, 7], [8, 7], [9, 7], [9, 8], [9, 9], [10, 9], [11, 9], [12, 9], [12, 10], [13, 10], [13, 11], [13, 12], [13, 13]]",13
1,isMutiGoal1episodes24000step_agent,"[[7, 7], [8, 7], [9, 7], [10, 7], [9, 7], [9, 8], [9, 9], [10, 9], [11, 9], [12, 9], [12, 10], [13, 10], [13, 11], [13, 12], [13, 13]]",15
2,isMutiGoal1episodes24000step_agent,"[[7, 7], [7, 8], [7, 7], [8, 7], [9, 7], [9, 8], [9, 9], [10, 9], [11, 9], [12, 9], [12, 10], [13, 10], [13, 11], [13, 12], [13, 13]]",15
3,isMutiGoal1episodes24000step_agent,"[[7, 7], [8, 7], [8, 8], [9, 8], [9, 9], [10, 9], [11, 9], [12, 9], [12, 10], [13, 10], [13, 11], [13, 12], [13, 13]]",13
4,isMutiGoal1episodes24000step_agent,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
5,isMutiGoal1episodes24000step_agent,"[[7, 7], [7, 6], [6, 6], [6, 5], [5, 5], [5, 4], [5, 3], [5, 2], [5, 1], [4, 1], [3, 1], [2, 1], [1, 1]]",13
6,isMutiGoal1episodes24000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
7,isMutiGoal1episodes24000step_agent,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [4, 12], [4, 13], [3, 13], [2, 13], [1, 13]]",13
8,isMutiGoal1episodes24000step_agent,"[[7, 7], [7, 8], [8, 8], [8, 7], [7, 7], [8, 7], [9, 7], [9, 8], [9, 9], [10, 9], [11, 9], [12, 9], [12, 10], [13, 10], [13, 11], [13, 12], [13, 13]]",17
9,isMutiGoal1episodes24000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [4, 14], [4, 13], [3, 13], [2, 13], [1, 13]]",15
10,isMutiGoal1episodes24000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
11,isMutiGoal1episodes24000step_agent,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [5, 10], [5, 11], [6, 11], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",15
12,isMutiGoal1episodes24000step_agent,"[[7, 7], [8, 7], [8, 6], [9, 6], [9, 5], [10, 5], [10, 4], [11, 4], [11, 3], [12, 3], [12, 2], [12, 1], [13, 1]]",13
13,isMutiGoal1episodes24000step_agent,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
14,isMutiGoal1episodes24000step_agent,"[[7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [12, 2], [12, 1], [13, 1]]",13
