,name,isMutiGoal,trainingEpisodes,fixAgentPostion,trajectory,lastPos,steps
0,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [6, 6], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",15
1,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
2,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
3,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",15
4,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
5,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
6,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
7,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [1, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",15
8,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
9,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
10,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
11,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
12,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
13,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
14,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
15,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
16,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [6, 6], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",15
17,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
18,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
19,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 8], [5, 9], [4, 9], [4, 8], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",17
20,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
21,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
22,fixReset1isMutiGoal1episodes16000step_agent,1,16000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]","[1, 13]",13
