,name,trajectory,steps
0,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 8], [8, 8], [8, 7], [8, 8], [9, 8], [8, 8], [7, 8], [8, 8], [8, 9], [8, 8], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13]]",21
1,isMutiGoal1episodes16000step_agent,"[[7, 7], [6, 7], [5, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",15
2,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",13
3,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [7, 5], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
4,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 6], [6, 6], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",19
5,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
6,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
7,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [7, 7], [6, 7], [6, 6], [5, 6], [5, 5], [5, 4], [4, 4], [4, 3], [4, 2], [3, 2], [2, 2], [1, 2], [1, 1]]",15
8,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
9,isMutiGoal1episodes16000step_agent,"[[7, 7], [6, 7], [7, 7], [7, 6], [8, 6], [8, 7], [9, 7], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13]]",17
10,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
11,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [11, 6], [12, 6], [13, 6], [13, 5], [13, 4], [13, 3], [13, 2], [13, 1]]",13
12,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
13,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
14,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 8], [7, 7], [7, 8], [8, 8], [8, 7], [9, 7], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13]]",17
15,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [9, 10], [9, 11], [9, 12], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13]]",13
16,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
17,isMutiGoal1episodes16000step_agent,"[[7, 7], [6, 7], [7, 7], [6, 7], [5, 7], [6, 7], [5, 7], [4, 7], [4, 8], [3, 8], [2, 8], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",17
18,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [11, 6], [12, 6], [11, 6], [12, 6], [13, 6], [13, 5], [13, 4], [13, 3], [13, 2], [13, 1]]",15
19,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
20,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
21,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
22,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
23,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [6, 6], [5, 6], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2], [3, 2], [2, 2], [1, 2], [1, 1]]",13
24,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
25,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",17
26,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [12, 2], [13, 2], [13, 1]]",15
27,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [7, 5], [7, 4], [7, 5], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",15
28,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [9, 7], [10, 7], [9, 7], [10, 7], [11, 7], [11, 6], [12, 6], [13, 6], [13, 5], [13, 4], [13, 3], [13, 2], [13, 1]]",15
29,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
30,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
31,isMutiGoal1episodes16000step_agent,"[[7, 7], [6, 7], [7, 7], [7, 8], [7, 7], [6, 7], [6, 6], [7, 6], [7, 5], [6, 5], [7, 5], [6, 5], [7, 5], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",23
32,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [8, 9], [8, 8], [8, 7], [7, 7], [8, 7], [8, 8], [7, 8], [8, 8], [8, 9], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13]]",23
33,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [8, 8], [8, 7], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",19
34,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [7, 5], [7, 6], [6, 6], [6, 7], [7, 7], [6, 7], [6, 6], [6, 5], [6, 4], [5, 4], [4, 4], [4, 3], [4, 2], [3, 2], [2, 2], [1, 2], [1, 1]]",19
35,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 8], [7, 7], [8, 7], [7, 7], [7, 6], [6, 6], [5, 6], [5, 5], [5, 4], [4, 4], [4, 3], [4, 2], [3, 2], [2, 2], [1, 2], [1, 1]]",17
36,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [7, 5], [7, 4], [6, 4], [6, 3], [5, 3], [5, 2], [4, 2], [3, 2], [2, 2], [1, 2], [1, 1]]",13
37,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [7, 7], [6, 7], [6, 6], [6, 5], [5, 5], [5, 4], [4, 4], [4, 3], [4, 2], [3, 2], [2, 2], [3, 2], [2, 2], [1, 2], [1, 1]]",17
38,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [7, 5], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",15
39,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [7, 7], [7, 6], [7, 5], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",17
40,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",13
41,isMutiGoal1episodes16000step_agent,"[[7, 7], [8, 7], [8, 8], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 2], [13, 1]]",15
42,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 8], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",17
43,isMutiGoal1episodes16000step_agent,"[[7, 7], [7, 6], [7, 7], [8, 7], [9, 7], [9, 8], [9, 9], [9, 10], [8, 10], [8, 9], [7, 9], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]",23
44,isMutiGoal1episodes16000step_agent,"[[7, 7], [6, 7], [5, 7], [5, 6], [4, 6], [5, 6], [5, 5], [5, 4], [4, 4], [4, 3], [4, 2], [3, 2], [2, 2], [1, 2], [1, 1]]",15
