,name,isMutiGoal,trainingEpisodes,fixAgentPostion,trajectory,lastPos,steps
0,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 8], [5, 9], [5, 10], [4, 10], [4, 11], [4, 10], [3, 10], [3, 11], [3, 12], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",19
1,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
2,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [4, 12], [4, 11], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",15
3,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
4,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
5,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [3, 10], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
6,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [4, 11], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
7,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
8,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
9,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]","[1, 13]",15
10,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
11,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
12,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
13,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
14,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [4, 10], [4, 11], [4, 12], [3, 12], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
15,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [3, 12], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]","[1, 13]",17
16,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
17,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
18,fixReset1isMutiGoal1episodes24000step_agent,1,24000,1,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
