,name,trajectory,steps
0,isMutiGoal0episodes5000step_agent,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
1,isMutiGoal0episodes5000step_agent,"[[7, 7], [7, 6], [7, 5], [6, 5], [6, 4], [7, 4], [7, 5], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [10, 2], [9, 2], [9, 1], [9, 2], [9, 1], [8, 1], [8, 0], [8, 1], [9, 1], [8, 1], [9, 1], [8, 1], [8, 0], [8, 1], [8, 2], [8, 3], [9, 3], [9, 4], [9, 5], [9, 6], [9, 5], [9, 4], [8, 4], [8, 5], [7, 5], [8, 5], [9, 5], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",57
2,isMutiGoal0episodes5000step_agent,"[[7, 7], [8, 7], [8, 6], [8, 5], [8, 6], [8, 5], [7, 5], [7, 4], [6, 4], [5, 4], [5, 3], [5, 2], [6, 2], [6, 1], [6, 2], [6, 3], [5, 3], [5, 2], [4, 2], [5, 2], [6, 2], [6, 3], [6, 4], [6, 3], [5, 3], [5, 4], [5, 5], [4, 5], [4, 4], [4, 5], [4, 4], [3, 4], [2, 4], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",43
3,isMutiGoal0episodes5000step_agent,"[[7, 7], [8, 7], [7, 7], [8, 7], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",17
4,isMutiGoal0episodes5000step_agent,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
5,isMutiGoal0episodes5000step_agent,"[[7, 7], [7, 6], [8, 6], [7, 6], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",17
6,isMutiGoal0episodes5000step_agent,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
7,isMutiGoal0episodes5000step_agent,"[[7, 7], [8, 7], [8, 8], [9, 8], [9, 9], [9, 8], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",21
8,isMutiGoal0episodes5000step_agent,"[[7, 7], [8, 7], [8, 8], [8, 9], [9, 9], [9, 8], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [5, 13], [4, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",23
9,isMutiGoal0episodes5000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
