,name,isMutiGoal,trainingEpisodes,fixAgentPostion,trajectory,lastPos,steps
0,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",15
1,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
2,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
3,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
4,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
5,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",15
6,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
7,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
8,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
9,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
10,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
11,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",15
12,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
13,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
14,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
15,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
16,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
17,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
18,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
19,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
20,fixReset1isMutiGoal0episodes4000step_agent,0,4000,1,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
