,name,isMutiGoal,trainingEpisodes,fixAgentPostion,trajectory,lastPos,steps
0,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
1,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
2,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
3,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
4,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
5,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
6,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [5, 10], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 11], [1, 12], [1, 13]]","[1, 13]",17
7,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
8,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 11], [1, 12], [1, 13]]","[1, 13]",15
9,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
10,fixReset1isMutiGoal1episodes8000step_agent,1,8000,1,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]","[1, 13]",13
