,name,isMutiGoal,trainingEpisodes,fixAgentPostion,trajectory,lastPos,steps
0,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 8], [7, 9], [7, 8], [7, 7], [6, 7], [7, 7], [7, 8], [7, 7], [6, 7], [6, 6], [6, 5], [6, 4], [6, 5], [6, 6], [7, 6], [6, 6], [6, 5], [6, 6], [7, 6], [7, 7], [8, 7], [8, 6], [9, 6], [9, 5], [8, 5], [7, 5], [8, 5], [8, 6], [7, 6], [8, 6], [8, 7], [8, 8], [7, 8], [8, 8], [8, 7], [9, 7], [9, 8], [9, 7], [9, 8], [9, 7], [8, 7], [7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",55
1,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 8], [6, 8], [6, 7], [6, 6], [6, 5], [6, 6], [6, 7], [5, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",21
2,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 8], [6, 8], [7, 8], [7, 9], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",17
3,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [6, 7], [6, 8], [5, 8], [4, 8], [4, 7], [3, 7], [3, 6], [3, 5], [3, 6], [3, 5], [4, 5], [4, 4], [4, 3], [4, 2], [4, 1], [3, 1], [2, 1], [1, 1]]","[1, 1]",19
4,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 8], [6, 8], [6, 7], [6, 8], [5, 8], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",15
5,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [8, 7], [8, 8], [9, 8], [9, 9], [9, 10], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",13
6,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 8], [7, 7], [6, 7], [6, 6], [6, 7], [6, 6], [7, 6], [8, 6], [8, 7], [7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",23
7,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [3, 9], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",13
8,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [8, 7], [8, 6], [8, 7], [8, 6], [8, 7], [7, 7], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 9], [8, 9], [8, 10], [7, 10], [7, 9], [6, 9], [7, 9], [7, 8], [8, 8], [8, 9], [7, 9], [7, 8], [7, 7], [6, 7], [7, 7], [6, 7], [6, 6], [5, 6], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2], [4, 1], [3, 1], [2, 1], [1, 1]]","[1, 1]",39
9,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 6], [7, 5], [7, 6], [7, 5], [6, 5], [6, 4], [6, 5], [6, 6], [6, 5], [6, 4], [5, 4], [5, 3], [4, 3], [4, 2], [4, 1], [4, 2], [4, 1], [3, 1], [2, 1], [1, 1]]","[1, 1]",21
10,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [8, 7], [8, 6], [7, 6], [8, 6], [8, 7], [8, 6], [8, 7], [9, 7], [9, 6], [9, 5], [8, 5], [9, 5], [8, 5], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",25
11,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",13
12,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 6], [7, 7], [7, 8], [6, 8], [5, 8], [5, 7], [5, 6], [5, 7], [6, 7], [5, 7], [6, 7], [5, 7], [6, 7], [5, 7], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [9, 7], [9, 8], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",31
13,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [8, 7], [7, 7], [7, 8], [6, 8], [7, 8], [8, 8], [9, 8], [9, 7], [9, 6], [8, 6], [9, 6], [9, 5], [10, 5], [10, 6], [10, 5], [11, 5], [11, 6], [10, 6], [9, 6], [8, 6], [9, 6], [10, 6], [11, 6], [10, 6], [9, 6], [9, 5], [10, 5], [10, 4], [10, 3], [10, 2], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",35
14,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [8, 11], [8, 12], [8, 13], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",15
15,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [6, 7], [6, 6], [7, 6], [7, 5], [7, 4], [7, 5], [7, 4], [7, 3], [7, 4], [7, 3], [7, 4], [7, 3], [8, 3], [8, 2], [8, 1], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",21
16,fixReset0isMutiGoal1episodes8000step_agent,1,8000,0,"[[7, 7], [7, 6], [6, 6], [6, 5], [5, 5], [5, 4], [5, 3], [4, 3], [4, 2], [4, 1], [3, 1], [2, 1], [1, 1]]","[1, 1]",13
