,name,trajectory,steps
0,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 7], [8, 8], [8, 9], [8, 8], [8, 9], [7, 9], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",21
1,isMutiGoal1episodes2000step_agent,"[[7, 7], [6, 7], [7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",15
2,isMutiGoal1episodes2000step_agent,"[[7, 7], [8, 7], [8, 8], [9, 8], [10, 8], [9, 8], [10, 8], [9, 8], [10, 8], [10, 7], [10, 6], [11, 6], [11, 5], [12, 5], [11, 5], [11, 4], [11, 3], [11, 2], [12, 2], [12, 1], [13, 1]]",21
3,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
4,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",15
5,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
6,isMutiGoal1episodes2000step_agent,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
7,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 6], [7, 5], [7, 6], [7, 5], [6, 5], [6, 4], [6, 3], [7, 3], [7, 2], [7, 3], [8, 3], [9, 3], [9, 4], [9, 3], [9, 4], [10, 4], [10, 3], [10, 2], [11, 2], [12, 2], [12, 1], [13, 1]]",23
8,isMutiGoal1episodes2000step_agent,"[[7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [11, 6], [11, 7], [11, 6], [10, 6], [10, 7], [11, 7], [11, 6], [12, 6], [12, 7], [11, 7], [11, 6], [11, 7], [11, 6], [10, 6], [10, 7], [10, 8], [10, 9], [9, 9], [10, 9], [9, 9], [10, 9], [10, 10], [10, 11], [11, 11], [12, 11], [12, 12], [12, 13], [13, 13]]",33
9,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
10,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
11,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
12,isMutiGoal1episodes2000step_agent,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
13,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
14,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
15,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 6], [7, 5], [7, 6], [6, 6], [5, 6], [6, 6], [7, 6], [6, 6], [5, 6], [5, 7], [4, 7], [5, 7], [5, 6], [4, 6], [3, 6], [3, 5], [3, 4], [2, 4], [2, 3], [2, 2], [2, 1], [1, 1]]",23
16,isMutiGoal1episodes2000step_agent,"[[7, 7], [6, 7], [6, 6], [7, 6], [8, 6], [8, 7], [9, 7], [9, 6], [9, 7], [9, 6], [9, 5], [9, 4], [9, 5], [8, 5], [9, 5], [10, 5], [10, 4], [10, 3], [10, 2], [11, 2], [12, 2], [12, 1], [13, 1]]",23
17,isMutiGoal1episodes2000step_agent,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
18,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 6], [7, 7], [7, 8], [7, 9], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",17
19,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
20,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [8, 8], [8, 7], [8, 6], [9, 6], [8, 6], [8, 7], [7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",21
21,isMutiGoal1episodes2000step_agent,"[[7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 8], [11, 9], [11, 10], [11, 11], [12, 11], [12, 12], [12, 13], [13, 13]]",13
22,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
23,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
24,isMutiGoal1episodes2000step_agent,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
