,name,trajectory,steps
0,isMutiGoal0episodes4000step_agent,"[[7, 7], [6, 7], [7, 7], [6, 7], [6, 6], [5, 6], [5, 7], [6, 7], [5, 7], [5, 6], [4, 6], [3, 6], [2, 6], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",21
1,isMutiGoal0episodes4000step_agent,"[[7, 7], [7, 8], [8, 8], [8, 9], [8, 8], [8, 7], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",19
2,isMutiGoal0episodes4000step_agent,"[[7, 7], [7, 6], [7, 7], [6, 7], [6, 6], [7, 6], [8, 6], [9, 6], [8, 6], [8, 7], [7, 7], [7, 8], [7, 9], [7, 10], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",27
3,isMutiGoal0episodes4000step_agent,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",13
4,isMutiGoal0episodes4000step_agent,"[[7, 7], [6, 7], [6, 8], [6, 7], [5, 7], [4, 7], [4, 6], [3, 6], [2, 6], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",17
5,isMutiGoal0episodes4000step_agent,"[[7, 7], [7, 6], [8, 6], [7, 6], [7, 7], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",19
6,isMutiGoal0episodes4000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [8, 4], [7, 4], [7, 5], [7, 6], [8, 6], [8, 5], [9, 5], [8, 5], [9, 5], [8, 5], [9, 5], [10, 5], [11, 5], [10, 5], [11, 5], [10, 5], [11, 5], [11, 6], [11, 5], [12, 5], [12, 4], [12, 5], [13, 5], [14, 5], [14, 6], [14, 6], [14, 5], [14, 4], [13, 4], [13, 5], [14, 5], [14, 6], [14, 5], [14, 6], [14, 7], [14, 6], [14, 7], [13, 7], [12, 7], [12, 8], [13, 8], [13, 7], [13, 6], [14, 6], [14, 5], [14, 4], [14, 4], [14, 3], [13, 3], [13, 2], [13, 3], [13, 2], [13, 1], [13, 0], [13, 1], [12, 1], [12, 2], [11, 2], [12, 2], [12, 1], [13, 1], [12, 1], [12, 2], [11, 2], [12, 2], [12, 3], [12, 2], [11, 2], [10, 2], [11, 2], [11, 3], [12, 3], [12, 2], [12, 1], [12, 2], [12, 1], [12, 0], [12, 1], [11, 1], [11, 2], [10, 2], [10, 1], [11, 1], [12, 1], [11, 1], [12, 1], [11, 1], [11, 0], [11, 0], [11, 0], [11, 0], [11, 0], [11, 0], [12, 0], [12, 1], [11, 1], [10, 1], [9, 1], [10, 1], [10, 2], [11, 2], [11, 1], [10, 1], [9, 1], [10, 1], [11, 1], [11, 2], [10, 2], [10, 1], [10, 0], [11, 0], [10, 0], [11, 0], [11, 1], [12, 1], [11, 1], [12, 1], [13, 1], [14, 1], [13, 1], [14, 1], [14, 2], [14, 3], [14, 2], [14, 3], [14, 2], [13, 2], [12, 2], [12, 1], [11, 1], [11, 0], [11, 1], [11, 2], [12, 2], [12, 3], [11, 3], [12, 3], [12, 4], [12, 5], [12, 4], [11, 4], [12, 4], [12, 3], [11, 3], [11, 2], [10, 2], [9, 2], [9, 3], [8, 3], [9, 3], [9, 2], [8, 2], [7, 2], [7, 3], [7, 2], [7, 3], [7, 2], [7, 3], [8, 3], [8, 2], [8, 3], [8, 4], [9, 4], [8, 4], [8, 5], [7, 5], [6, 5], [6, 6], [6, 5], [7, 5], [7, 4], [8, 4], [8, 3], [7, 3], [7, 4], [8, 4], [8, 3], [9, 3], [9, 2], [10, 2], [10, 3], [10, 2], [9, 2], [8, 2], [7, 2], [8, 2], [8, 1], [7, 1], [7, 2], [6, 2], [6, 3], [5, 3], [5, 2], [5, 1], [5, 2], [6, 2], [6, 1], [5, 1], [4, 1], [3, 1], [4, 1], [3, 1], [3, 2], [4, 2], [5, 2], [5, 3], [5, 4], [4, 4], [4, 5], [3, 5], [2, 5], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",224
7,isMutiGoal0episodes4000step_agent,"[[7, 7], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",15
8,isMutiGoal0episodes4000step_agent,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",13
9,isMutiGoal0episodes4000step_agent,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",13
