,name,isMutiGoal,trainingEpisodes,fixAgentPostion,trajectory,lastPos,steps
0,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [6, 7], [5, 7], [6, 7], [5, 7], [5, 6], [5, 7], [4, 7], [5, 7], [4, 7], [4, 6], [3, 6], [2, 6], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",21
1,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [10, 7], [10, 8], [10, 9], [10, 10], [9, 10], [8, 10], [8, 11], [8, 12], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",21
2,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [6, 7], [6, 6], [5, 6], [6, 6], [5, 6], [5, 7], [4, 7], [5, 7], [5, 8], [6, 8], [7, 8], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",25
3,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
4,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [8, 3], [8, 4], [8, 3], [8, 4], [8, 5], [7, 5], [7, 4], [8, 4], [8, 5], [8, 6], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10], [9, 10], [8, 10], [8, 11], [8, 12], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",33
5,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [6, 7], [7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",17
6,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [7, 6], [8, 6], [9, 6], [9, 5], [9, 4], [9, 5], [9, 4], [8, 4], [8, 5], [8, 4], [8, 5], [7, 5], [8, 5], [9, 5], [9, 4], [8, 4], [8, 3], [7, 3], [7, 2], [7, 1], [7, 2], [6, 2], [6, 1], [6, 2], [6, 3], [5, 3], [5, 4], [5, 5], [4, 5], [3, 5], [2, 5], [1, 5], [1, 6], [1, 7], [1, 8], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",43
7,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [8, 7], [8, 6], [8, 7], [8, 8], [7, 8], [7, 9], [8, 9], [9, 9], [9, 8], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",23
8,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [7, 6], [7, 7], [8, 7], [8, 6], [7, 6], [7, 5], [7, 4], [8, 4], [9, 4], [9, 5], [9, 6], [8, 6], [8, 5], [9, 5], [8, 5], [9, 5], [9, 6], [9, 5], [8, 5], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [8, 3], [8, 4], [8, 3], [8, 2], [8, 1], [7, 1], [7, 2], [6, 2], [6, 1], [6, 2], [7, 2], [6, 2], [7, 2], [6, 2], [7, 2], [7, 3], [7, 2], [7, 1], [6, 1], [6, 2], [7, 2], [8, 2], [8, 1], [9, 1], [9, 2], [9, 3], [8, 3], [9, 3], [9, 4], [9, 3], [9, 2], [9, 3], [9, 2], [10, 2], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [10, 6], [10, 7], [11, 7], [10, 7], [10, 6], [11, 6], [10, 6], [10, 7], [9, 7], [8, 7], [7, 7], [7, 6], [7, 7], [7, 6], [6, 6], [5, 6], [6, 6], [6, 5], [5, 5], [4, 5], [3, 5], [2, 5], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]","[1, 13]",95
9,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [7, 8], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",15
10,fixReset0isMutiGoal0episodes4000step_agent,0,4000,0,"[[7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 10], [8, 11], [8, 12], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",17
