,name,trajectory,steps
1,maxRolloutSteps30_numSimulations400_softmaxBeta-1_0,"[[7, 7], [7, 8], [7, 9], [8, 9], [8, 8], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [4, 13], [3, 13], [2, 13], [1, 13]]",17
2,maxRolloutSteps30_numSimulations400_softmaxBeta-1_0,"[[7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9], [2, 9], [3, 9], [3, 10], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]",15
3,maxRolloutSteps30_numSimulations400_softmaxBeta-1_0,"[[7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [5, 10], [4, 10], [4, 11], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]",13
4,maxRolloutSteps30_numSimulations400_softmaxBeta-1_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [6, 11], [6, 12], [5, 12], [4, 12], [3, 12], [2, 12], [3, 12], [3, 11], [2, 11], [2, 12], [2, 13], [1, 13]]",19
