,name,trajectory,steps
0,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 8], [7, 9], [7, 10], [8, 10], [8, 11], [8, 12], [9, 12], [9, 11], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]",15
1,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 8], [7, 7], [7, 6], [7, 7], [7, 8], [6, 8], [6, 7], [6, 8], [7, 8], [8, 8], [7, 8], [6, 8], [6, 7], [5, 7], [5, 6], [6, 6], [6, 5], [5, 5], [4, 5], [4, 4], [4, 5], [3, 5], [3, 4], [3, 3], [2, 3], [1, 3], [1, 2], [1, 1]]",29
2,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 6], [7, 7], [8, 7], [8, 8], [8, 9], [8, 8], [8, 9], [9, 9], [9, 10], [9, 11], [9, 12], [10, 12], [11, 12], [12, 12], [12, 13], [13, 13]]",17
3,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [6, 7], [6, 6], [7, 6], [6, 6], [5, 6], [5, 5], [5, 4], [4, 4], [4, 3], [3, 3], [3, 2], [3, 1], [2, 1], [1, 1]]",15
4,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 8], [11, 9], [12, 9], [12, 10], [12, 11], [12, 12], [12, 13], [13, 13]]",13
5,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [8, 7], [8, 8], [9, 8], [9, 9], [10, 9], [11, 9], [11, 10], [10, 10], [11, 10], [11, 11], [11, 12], [12, 12], [12, 13], [13, 13]]",15
6,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [6, 7], [6, 6], [6, 5], [7, 5], [7, 4], [7, 3], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2], [3, 1], [2, 1], [1, 1]]",15
7,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [8, 7], [8, 6], [9, 6], [8, 6], [9, 6], [10, 6], [11, 6], [10, 6], [10, 5], [10, 4], [11, 4], [11, 3], [11, 2], [12, 2], [12, 1], [13, 1]]",17
8,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 6], [6, 6], [6, 5], [6, 4], [7, 4], [7, 3], [6, 3], [7, 3], [7, 2], [8, 2], [7, 2], [8, 2], [9, 2], [8, 2], [9, 2], [9, 1], [9, 2], [10, 2], [11, 2], [12, 2], [13, 2], [13, 1]]",23
9,maxRolloutSteps30_numSimulations100_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 6], [7, 5], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [3, 5], [2, 5], [1, 5], [1, 4], [1, 3], [1, 2], [1, 1]]",15
