,name,trajectory,steps
0,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 6], [6, 7], [7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [5, 10], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [3, 12], [2, 12], [3, 12], [3, 13], [3, 14], [2, 14], [2, 13], [1, 13]]",23
1,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11], [3, 11], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",17
2,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [7, 7], [8, 7], [8, 6], [8, 5], [7, 5], [8, 5], [8, 4], [9, 4], [10, 4], [11, 4], [11, 5], [12, 5], [13, 5], [14, 5], [14, 5], [13, 5], [14, 5], [14, 4], [13, 4], [13, 5], [13, 6], [12, 6], [13, 6], [13, 7], [14, 7], [14, 8], [14, 7], [13, 7], [13, 6], [12, 6], [11, 6], [11, 5], [11, 4], [10, 4], [9, 4], [8, 4], [8, 3], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [6, 7], [6, 6], [5, 6], [4, 6], [4, 5], [4, 6], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]",60
3,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [3, 8], [2, 8], [3, 8], [3, 9], [3, 10], [3, 11], [2, 11], [2, 12], [3, 12], [3, 11], [2, 11], [3, 11], [3, 12], [3, 13], [3, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]",25
4,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [4, 9], [3, 9], [2, 9], [2, 10], [2, 11], [3, 11], [3, 12], [3, 13], [3, 12], [2, 12], [2, 13], [1, 13]]",17
5,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [8, 7], [8, 8], [8, 7], [9, 7], [9, 8], [9, 7], [9, 6], [10, 6], [11, 6], [12, 6], [12, 7], [12, 8], [12, 7], [12, 6], [12, 7], [13, 7], [14, 7], [14, 6], [14, 6], [13, 6], [13, 7], [14, 7], [13, 7], [13, 6], [13, 7], [14, 7], [13, 7], [12, 7], [12, 6], [11, 6], [10, 6], [9, 6], [9, 7], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [4, 7], [3, 7], [3, 8], [2, 8], [1, 8], [1, 9], [0, 9], [0, 9], [0, 10], [0, 11], [0, 12], [0, 12], [1, 12], [1, 13]]",54
6,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [2, 11], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]",17
7,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [6, 9], [5, 9], [5, 8], [4, 8], [4, 9], [3, 9], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]",17
8,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [3, 10], [2, 10], [2, 9], [3, 9], [3, 10], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",21
9,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 6], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [5, 9], [4, 9], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]",19
10,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 9], [8, 9], [7, 9], [8, 9], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [9, 12], [8, 12], [7, 12], [6, 12], [6, 11], [5, 11], [5, 10], [4, 10], [3, 10], [3, 11], [3, 12], [2, 12], [2, 13], [1, 13]]",25
11,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]",15
12,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [5, 10], [5, 11], [4, 11], [4, 12], [3, 12], [2, 12], [1, 12], [1, 13]]",15
13,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [6, 8], [7, 8], [7, 9], [7, 10], [7, 9], [7, 10], [7, 11], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]",17
14,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [4, 12], [4, 13], [3, 13], [2, 13], [1, 13]]",15
15,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [5, 9], [5, 10], [5, 11], [5, 12], [4, 12], [3, 12], [2, 12], [2, 13], [1, 13]]",15
16,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 6], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [4, 11], [5, 11], [4, 11], [4, 12], [3, 12], [2, 12], [2, 13], [1, 13]]",17
17,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [5, 13], [6, 13], [5, 13], [5, 14], [4, 14], [3, 14], [2, 14], [1, 14], [1, 13]]",17
18,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [6, 8], [6, 7], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [1, 11], [0, 11], [0, 11], [0, 10], [0, 11], [0, 12], [0, 12], [1, 12], [1, 13]]",21
19,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [1, 11], [0, 11], [0, 12], [0, 13], [1, 13]]",15
20,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [4, 9], [3, 9], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]",13
21,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [7, 7], [6, 7], [6, 8], [7, 8], [6, 8], [5, 8], [6, 8], [7, 8], [7, 9], [6, 9], [7, 9], [6, 9], [6, 10], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [4, 12], [4, 13], [3, 13], [2, 13], [1, 13]]",27
