,name,trajectory,steps
0,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11], [4, 12], [3, 12], [2, 12], [2, 13], [1, 13]]",13
1,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [3, 8], [3, 9], [3, 10], [2, 10], [2, 11], [1, 11], [1, 12], [1, 13]]",13
2,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11], [3, 11], [3, 12], [3, 13], [3, 14], [3, 13], [3, 14], [2, 14], [2, 13], [1, 13]]",17
3,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [1, 12], [1, 13]]",13
4,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [4, 11], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]",13
5,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",15
6,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [8, 7], [8, 8], [8, 9], [7, 9], [7, 10], [6, 10], [5, 10], [5, 9], [5, 10], [5, 11], [4, 11], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]",17
7,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 6], [7, 6], [6, 6], [7, 6], [8, 6], [7, 6], [7, 5], [7, 6], [7, 5], [8, 5], [8, 4], [9, 4], [10, 4], [10, 5], [11, 5], [11, 4], [10, 4], [9, 4], [10, 4], [10, 5], [10, 6], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [1, 11], [1, 10], [1, 11], [1, 10], [2, 10], [2, 11], [2, 12], [1, 12], [1, 13]]",45
8,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 7], [4, 7], [5, 7], [5, 6], [6, 6], [5, 6], [4, 6], [4, 7], [4, 8], [3, 8], [3, 9], [2, 9], [2, 10], [1, 10], [2, 10], [2, 11], [2, 12], [1, 12], [1, 13]]",23
9,maxRolloutSteps20_numSimulations600_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [1, 11], [0, 11], [0, 11], [0, 11], [1, 11], [1, 12], [1, 13]]",17
