,name,trajectory,steps
0,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [4, 10], [3, 10], [3, 9], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]",15
1,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [7, 7], [7, 8], [6, 8], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [6, 10], [6, 11], [5, 11], [4, 11], [3, 11], [3, 12], [2, 12], [2, 13], [1, 13]]",19
2,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [6, 12], [5, 12], [4, 12], [3, 12], [2, 12], [1, 12], [1, 13]]",13
3,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [7, 9], [7, 10], [7, 9], [6, 9], [6, 10], [5, 10], [5, 11], [5, 12], [4, 12], [4, 13], [3, 13], [2, 13], [1, 13]]",17
4,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",13
5,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [3, 9], [3, 10], [2, 10], [2, 11], [1, 11], [1, 12], [1, 13]]",13
6,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [1, 11], [1, 12], [1, 13]]",13
7,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [7, 7], [7, 8], [7, 7], [6, 7], [6, 6], [5, 6], [4, 6], [4, 7], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",19
8,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 6], [7, 7], [6, 7], [6, 8], [5, 8], [4, 8], [3, 8], [3, 9], [2, 9], [2, 10], [1, 10], [1, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",17
9,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [11, 8], [12, 8], [13, 8], [13, 9], [13, 10], [12, 10], [12, 9], [12, 10], [11, 10], [10, 10], [10, 11], [10, 12], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [5, 13], [5, 12], [4, 12], [4, 13], [4, 14], [3, 14], [2, 14], [2, 13], [1, 13]]",31
10,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [3, 8], [3, 9], [3, 10], [2, 10], [2, 11], [1, 11], [1, 12], [1, 13]]",13
11,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [4, 11], [3, 11], [2, 11], [2, 12], [2, 11], [2, 12], [2, 13], [1, 13]]",17
12,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 7], [5, 8], [4, 8], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",15
13,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [7, 7], [7, 8], [7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [5, 11], [4, 11], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]",17
