,name,trajectory,steps
0,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]",15
1,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [8, 8], [8, 9], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [4, 11], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",15
2,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [4, 9], [4, 10], [3, 10], [4, 10], [4, 11], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]",15
3,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11], [4, 10], [4, 11], [4, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",17
4,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 7], [6, 7], [7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",17
5,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",13
6,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [4, 11], [4, 12], [5, 12], [4, 12], [4, 13], [3, 13], [4, 13], [3, 13], [3, 14], [3, 14], [3, 13], [2, 13], [1, 13]]",22
7,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 6], [8, 6], [7, 6], [6, 6], [7, 6], [8, 6], [7, 6], [7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8], [2, 9], [2, 10], [2, 9], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",23
8,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [4, 10], [3, 10], [3, 11], [3, 12], [3, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",15
9,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [5, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [3, 10], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",15
10,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [8, 7], [8, 8], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [3, 9], [2, 9], [2, 8], [1, 8], [0, 8], [0, 9], [0, 10], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13]]",20
11,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [3, 10], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]",13
12,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 6], [6, 6], [5, 6], [4, 6], [4, 7], [3, 7], [3, 8], [3, 7], [3, 8], [3, 9], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]",17
13,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [3, 9], [3, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",13
14,maxRolloutSteps20_numSimulations400_softmaxBeta-1_stepPenalty20_0,"[[7, 7], [7, 6], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [2, 8], [1, 8], [1, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",17
