,name,trajectory,steps
0,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 6], [8, 6], [9, 6], [9, 7], [9, 6], [9, 5], [10, 5], [10, 6], [10, 7], [10, 6], [10, 7], [9, 7], [9, 6], [10, 6], [11, 6], [11, 7], [11, 8], [11, 9], [11, 10], [10, 10], [9, 10], [10, 10], [9, 10], [9, 11], [9, 12], [8, 12], [7, 12], [7, 13], [6, 13], [6, 12], [5, 12], [5, 13], [5, 14], [5, 13], [5, 14], [5, 14], [4, 14], [3, 14], [4, 14], [3, 14], [2, 14], [1, 14], [1, 13]]",44
1,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [7, 8], [7, 9], [6, 9], [7, 9], [6, 9], [7, 9], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [3, 11], [3, 12], [2, 12], [2, 13], [1, 13]]",19
2,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [8, 7], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [4, 11], [3, 11], [2, 11], [2, 12], [2, 13], [1, 13]]",15
3,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10], [3, 10], [3, 11], [2, 11], [1, 11], [0, 11], [1, 11], [1, 12], [1, 13]]",15
4,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10], [3, 10], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",13
5,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 10], [4, 10], [4, 11], [4, 12], [4, 13], [4, 14], [4, 13], [3, 13], [2, 13], [1, 13]]",17
6,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [8, 7], [8, 8], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [3, 10], [2, 10], [1, 10], [0, 10], [1, 10], [1, 9], [1, 10], [1, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",21
7,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 6], [5, 6], [4, 6], [4, 5], [4, 6], [4, 7], [5, 7], [4, 7], [3, 7], [3, 6], [2, 6], [2, 7], [2, 8], [1, 8], [1, 9], [0, 9], [0, 9], [0, 10], [0, 11], [1, 11], [2, 11], [1, 11], [1, 10], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13]]",30
8,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",13
9,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11], [4, 10], [4, 9], [3, 9], [3, 10], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",17
10,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [7, 8], [8, 8], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [6, 12], [5, 12], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]",19
11,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [4, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [0, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",19
12,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [8, 7], [7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [5, 10], [5, 11], [4, 11], [3, 11], [3, 12], [3, 11], [3, 10], [3, 11], [2, 11], [2, 12], [2, 13], [1, 13]]",19
13,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [8, 9], [8, 8], [8, 7], [8, 6], [9, 6], [8, 6], [8, 7], [7, 7], [6, 7], [6, 8], [5, 8], [5, 7], [5, 8], [4, 8], [4, 7], [3, 7], [2, 7], [2, 8], [2, 9], [1, 9], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13]]",29
14,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12], [5, 11], [4, 11], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",17
15,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [3, 8], [2, 8], [2, 9], [1, 9], [0, 9], [0, 8], [0, 9], [0, 10], [0, 10], [0, 9], [0, 10], [1, 10], [2, 10], [1, 10], [1, 11], [1, 12], [1, 13]]",22
16,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [8, 7], [9, 7], [8, 7], [8, 6], [7, 6], [7, 5], [7, 6], [7, 5], [7, 6], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [6, 12], [5, 12], [4, 12], [3, 12], [2, 12], [1, 12], [1, 13]]",27
17,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [5, 11], [4, 11], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",15
18,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [2, 10], [2, 11], [3, 11], [3, 12], [2, 12], [3, 12], [3, 13], [3, 14], [2, 14], [2, 14], [2, 13], [1, 13]]",20
19,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [8, 7], [8, 8], [8, 9], [7, 9], [7, 10], [6, 10], [6, 9], [5, 9], [5, 10], [4, 10], [3, 10], [2, 10], [2, 11], [2, 10], [2, 11], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",21
20,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [3, 10], [2, 10], [1, 10], [1, 9], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13]]",17
21,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [4, 11], [3, 11], [3, 10], [3, 11], [3, 12], [2, 12], [1, 12], [1, 13]]",17
22,maxRolloutSteps30_numSimulations200_softmaxBeta-1_stepPenalty10_0,"[[7, 7], [7, 8], [6, 8], [6, 7], [6, 8], [5, 8], [4, 8], [3, 8], [3, 9], [3, 10], [2, 10], [2, 9], [1, 9], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13]]",19
