,name,trajectory,steps
0,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 6], [7, 5], [7, 6], [7, 5], [6, 5], [5, 5], [5, 6], [4, 6], [4, 7], [4, 8], [4, 9], [3, 9], [4, 9], [3, 9], [3, 10], [3, 11], [2, 11], [2, 12], [2, 13], [1, 13]]",21
1,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [4, 9], [4, 10], [3, 10], [3, 11], [3, 12], [2, 12], [2, 13], [1, 13]]",13
2,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [8, 7], [9, 7], [8, 7], [8, 8], [9, 8], [9, 7], [9, 6], [8, 6], [8, 7], [8, 6], [8, 7], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [6, 9], [5, 9], [4, 9], [5, 9], [4, 9], [3, 9], [3, 10], [3, 9], [2, 9], [1, 9], [1, 8], [1, 9], [1, 10], [2, 10], [2, 11], [1, 11], [1, 12], [1, 13]]",35
3,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 13], [3, 14], [3, 14], [2, 14], [1, 14], [1, 13]]",16
4,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13]]",15
5,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [2, 12], [2, 13], [1, 13]]",15
6,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [4, 8], [4, 9], [3, 9], [2, 9], [2, 10], [1, 10], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13]]",15
7,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [8, 7], [8, 6], [8, 5], [8, 4], [9, 4], [8, 4], [7, 4], [7, 3], [7, 4], [6, 4], [5, 4], [6, 4], [5, 4], [4, 4], [4, 3], [5, 3], [4, 3], [4, 4], [5, 4], [4, 4], [4, 3], [4, 2], [5, 2], [4, 2], [4, 1], [4, 0], [3, 0], [4, 0], [5, 0], [6, 0], [6, 0], [5, 0], [6, 0], [6, 1], [6, 0], [6, 0], [7, 0], [8, 0], [8, 1], [7, 1], [8, 1], [7, 1], [7, 2], [6, 2], [5, 2], [6, 2], [6, 1], [6, 0], [6, 1], [5, 1], [5, 2], [5, 3], [6, 3], [6, 2], [6, 1], [6, 0], [6, 1], [6, 0], [7, 0], [6, 0], [7, 0], [8, 0], [7, 0], [8, 0], [7, 0], [8, 0], [8, 0], [9, 0], [9, 0], [8, 0], [8, 0], [8, 1], [7, 1], [7, 2], [7, 3], [8, 3], [7, 3], [7, 4], [6, 4], [5, 4], [6, 4], [6, 5], [5, 5], [5, 4], [6, 4], [7, 4], [8, 4], [8, 5], [7, 5], [7, 4], [8, 4], [8, 3], [9, 3], [8, 3], [7, 3], [8, 3], [8, 4], [8, 5], [7, 5], [6, 5], [5, 5], [5, 4], [5, 5], [5, 4], [5, 3], [6, 3], [7, 3], [7, 2], [6, 2], [5, 2], [5, 3], [4, 3], [4, 4], [4, 3], [4, 4], [3, 4], [2, 4], [1, 4], [1, 5], [2, 5], [2, 4], [3, 4], [3, 5], [2, 5], [2, 6], [2, 7], [2, 8], [1, 8], [1, 9], [1, 10], [2, 10], [1, 10], [1, 11], [2, 11], [1, 11], [0, 11], [0, 12], [0, 12], [1, 12], [1, 13]]",141
8,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [7, 6], [7, 7], [7, 8], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [4, 10], [4, 11], [4, 12], [4, 13], [3, 13], [2, 13], [1, 13]]",17
9,maxRolloutSteps20_numSimulations200_softmaxBeta-1_stepPenalty30_0,"[[7, 7], [6, 7], [5, 7], [5, 8], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10], [4, 11], [3, 11], [3, 12], [2, 12], [2, 13], [1, 13]]",15
